,C,H,O
B.O.4,0,0,0
B.O.4,0,-2,0
B.O.4,0,-4,0
B.O.4,0,-4,1
B.O.4,0,-2,1
B.5,0,0,0
B.5,0,0,3
B.5,-1,0,1
B.5,0,-2,2
B.5,-1,-2,0
B.5,-1,-4,0
B.5,-1,-4,1
B.5,-1,-2,2
B.5,0,-2,0
B.5,0,-2,1
B.5,-1,-2,-1
B.5,-1,0,0
B.5,0,2,1
B.5,0,0,1
B.5,0,0,2
B.5,0,-2,3
B.5,-1,-2,1
B.5,0,-4,1
B.5,0,0,-1
X55,0,0,0
B.1,0,0,0
B.1,0,-2,0
B.1,0,-2,1
B.1,-1,-2,-1
B.1,-1,-4,-1
B.1,-1,-4,0
B.1,0,-4,0
B.1,0,-4,1
B.1,0,-4,2
B.1,-1,-4,-2
X4.O.5,0,0,0
A.O.4,0,0,0
A.O.4,0,-2,0
A.O.4,0,-2,1
A.O.4,0,-2,2
A.O.4,0,-4,2
A.O.4,-1,-4,1
B.B,0,0,0
B.B,-2,-4,0
B.B,-1,-4,2
B.B,-1,-4,3
B.B,-2,-4,1
B.B,-2,-6,1
B.B,0,-4,6
B.B,-1,-4,4
B.B,-2,-4,2
B.B,0,0,1
B.B,0,0,2
B.B,0,-2,2
B.B,0,-2,3
B.B,0,-2,4
B.B,0,-4,4
B.B,0,-4,5
B.B,0,0,3
B.B,0,0,4
B.B,-1,-2,2
