bond,number,C,H,O,position
,,0,0,0,sidechain
,,0,0,2,sidechain
,,0,-2,2,sidechain
,,0,-2,3,sidechain
,,-1,-2,2,sidechain
,,-1,-4,2,sidechain
,,-2,-4,1,sidechain
,,-3,-4,0,sidechain
,,0,-4,3,sidechain
,,0,-4,2,sidechain
,,-2,-4,0,sidechain
,,0,0,1,sidechain
,,0,-2,1,sidechain
,,-1,-2,0,sidechain
,,-1,-2,1,sidechain
,,1,-2,4,sidechain
,,1,-2,5,sidechain
,,-1,-4,1,sidechain
,,1,-2,3,sidechain
,,1,-4,4,sidechain
,,1,0,3,sidechain
,,1,0,2,sidechain
,,2,0,6,sidechain
,,2,-2,6,sidechain
,,3,2,3,sidechain
,,3,2,4,sidechain
,,3,2,6,sidechain
,,2,0,5,sidechain
,,3,4,3,sidechain
,,2,2,4,sidechain
,,2,0,4,sidechain
,,2,-2,5,sidechain
,,3,4,4,sidechain
,,3,4,5,sidechain
,,3,2,5,sidechain
,,2,4,3,sidechain
,,2,2,3,sidechain
,,1,0,4,sidechain
,,3,0,5,sidechain
,,3,0,6,sidechain
,,3,0,7,sidechain
,,2,0,3,sidechain
,,3,0,8,sidechain
,,-1,0,1,sidechain
,,0,0,0,carbon
,,-2,-4,0,carbon
,,-2,-4,1,carbon
,,-3,-4,0,carbon
,,0,0,0,oxygen
